fra;semaine;cl_age90;Nb_tests_PCR_TA_crible;Prc_tests_PCR_TA_crible;Nb_susp_501Y_V1;Prc_susp_501Y_V1;Nb_susp_501Y_V2_3;Prc_susp_501Y_V2_3;Nb_susp_IND;Prc_susp_IND;Nb_susp_ABS;Prc_susp_ABS
FR;2021-02-12-2021-02-18;09;3573;56.4;1904;53.3;143;4;377;10.6;1149;32.2
FR;2021-02-12-2021-02-18;19;10510;53.3;5340;50.8;500;4.8;870;8.3;3800;36.2
FR;2021-02-12-2021-02-18;29;11683;49.4;5685;48.7;598;5.1;973;8.3;4427;37.9
FR;2021-02-12-2021-02-18;39;12306;50.6;6274;51;550;4.5;986;8;4496;36.5
FR;2021-02-12-2021-02-18;49;12418;52.1;6238;50.2;511;4.1;965;7.8;4704;37.9
FR;2021-02-12-2021-02-18;59;11179;52.7;5238;46.9;455;4.1;965;8.6;4521;40.4
FR;2021-02-12-2021-02-18;69;8018;53.2;3509;43.8;385;4.8;658;8.2;3466;43.2
FR;2021-02-12-2021-02-18;79;5155;52.2;1901;36.9;162;3.1;493;9.6;2599;50.4
FR;2021-02-12-2021-02-18;89;4301;53.3;1309;30.4;137;3.2;461;10.7;2394;55.7
FR;2021-02-12-2021-02-18;90;2391;53.5;688;28.8;75;3.1;247;10.3;1381;57.8
FR;2021-02-13-2021-02-19;09;3821;60;2009;52.6;151;4;417;10.9;1244;32.6
FR;2021-02-13-2021-02-19;19;11452;56.7;5768;50.4;568;5;933;8.1;4183;36.5
FR;2021-02-13-2021-02-19;29;12920;52.8;6276;48.6;676;5.2;1128;8.7;4840;37.5
FR;2021-02-13-2021-02-19;39;13329;53.4;6695;50.2;603;4.5;1114;8.4;4917;36.9
FR;2021-02-13-2021-02-19;49;13560;55.1;6786;50;587;4.3;1092;8.1;5095;37.6
FR;2021-02-13-2021-02-19;59;12302;56.1;5807;47.2;549;4.5;1057;8.6;4889;39.7
FR;2021-02-13-2021-02-19;69;8792;56.6;3838;43.7;454;5.2;772;8.8;3728;42.4
FR;2021-02-13-2021-02-19;79;5598;55.5;2123;37.9;187;3.3;528;9.4;2760;49.3
FR;2021-02-13-2021-02-19;89;4617;56.7;1409;30.5;150;3.2;506;11;2552;55.3
FR;2021-02-13-2021-02-19;90;2481;55.8;703;28.3;86;3.5;262;10.6;1430;57.6
FR;2021-02-14-2021-02-20;09;3919;61.3;2085;53.2;163;4.2;413;10.5;1258;32.1
FR;2021-02-14-2021-02-20;19;11855;57.9;5975;50.4;636;5.4;966;8.1;4278;36.1
FR;2021-02-14-2021-02-20;29;13348;53.8;6535;49;714;5.3;1149;8.6;4950;37.1
FR;2021-02-14-2021-02-20;39;13796;54.4;6935;50.3;638;4.6;1146;8.3;5077;36.8
FR;2021-02-14-2021-02-20;49;14030;55.9;7067;50.4;614;4.4;1111;7.9;5238;37.3
FR;2021-02-14-2021-02-20;59;12790;57.2;6083;47.6;590;4.6;1087;8.5;5030;39.3
FR;2021-02-14-2021-02-20;69;9049;57.5;3998;44.2;480;5.3;783;8.7;3788;41.9
FR;2021-02-14-2021-02-20;79;5823;56.8;2219;38.1;195;3.3;552;9.5;2857;49.1
FR;2021-02-14-2021-02-20;89;4722;57.7;1474;31.2;162;3.4;507;10.7;2579;54.6
FR;2021-02-14-2021-02-20;90;2529;57.1;738;29.2;84;3.3;263;10.4;1444;57.1
FR;2021-02-15-2021-02-21;09;3947;61.3;2105;53.3;166;4.2;417;10.6;1259;31.9
FR;2021-02-15-2021-02-21;19;11919;58.1;6019;50.5;644;5.4;973;8.2;4283;35.9
FR;2021-02-15-2021-02-21;29;13470;54.1;6599;49;719;5.3;1175;8.7;4977;36.9
FR;2021-02-15-2021-02-21;39;13847;54.4;6980;50.4;635;4.6;1157;8.4;5075;36.7
FR;2021-02-15-2021-02-21;49;14150;56.2;7159;50.6;625;4.4;1120;7.9;5246;37.1
FR;2021-02-15-2021-02-21;59;12887;57.4;6147;47.7;590;4.6;1093;8.5;5057;39.2
FR;2021-02-15-2021-02-21;69;9118;57.8;4046;44.4;467;5.1;794;8.7;3811;41.8
FR;2021-02-15-2021-02-21;79;5897;57.1;2259;38.3;198;3.4;569;9.6;2871;48.7
FR;2021-02-15-2021-02-21;89;4789;58.5;1511;31.6;164;3.4;516;10.8;2598;54.2
FR;2021-02-15-2021-02-21;90;2559;58.2;754;29.5;90;3.5;279;10.9;1436;56.1
FR;2021-02-16-2021-02-22;09;4013;61.4;2186;54.5;163;4.1;418;10.4;1246;31
FR;2021-02-16-2021-02-22;19;12457;59;6482;52;658;5.3;1023;8.2;4294;34.5
FR;2021-02-16-2021-02-22;29;14314;55.1;7313;51.1;736;5.1;1242;8.7;5023;35.1
FR;2021-02-16-2021-02-22;39;14500;55.2;7560;52.1;663;4.6;1224;8.4;5053;34.8
FR;2021-02-16-2021-02-22;49;14849;57.3;7879;53.1;644;4.3;1220;8.2;5106;34.4
FR;2021-02-16-2021-02-22;59;13683;58.1;6788;49.6;639;4.7;1144;8.4;5112;37.4
FR;2021-02-16-2021-02-22;69;9596;59;4464;46.5;516;5.4;838;8.7;3778;39.4
FR;2021-02-16-2021-02-22;79;6075;57.4;2483;40.9;221;3.6;613;10.1;2758;45.4
FR;2021-02-16-2021-02-22;89;4806;58.9;1676;34.9;149;3.1;523;10.9;2458;51.1
FR;2021-02-16-2021-02-22;90;2511;59;803;32;86;3.4;284;11.3;1338;53.3
FR;2021-02-17-2021-02-23;09;4101;62;2283;55.7;187;4.6;414;10.1;1217;29.7
FR;2021-02-17-2021-02-23;19;12843;59.9;6873;53.5;704;5.5;1039;8.1;4227;32.9
FR;2021-02-17-2021-02-23;29;14870;55.8;7785;52.4;790;5.3;1319;8.9;4976;33.5
FR;2021-02-17-2021-02-23;39;15014;56;8058;53.7;734;4.9;1278;8.5;4944;32.9
FR;2021-02-17-2021-02-23;49;15370;58;8356;54.4;701;4.6;1253;8.2;5060;32.9
FR;2021-02-17-2021-02-23;59;14192;58.8;7321;51.6;679;4.8;1196;8.4;4996;35.2
FR;2021-02-17-2021-02-23;69;9935;59.4;4844;48.8;547;5.5;873;8.8;3671;37
FR;2021-02-17-2021-02-23;79;6388;58.4;2761;43.2;242;3.8;657;10.3;2728;42.7
FR;2021-02-17-2021-02-23;89;4796;59.3;1803;37.6;150;3.1;538;11.2;2305;48.1
FR;2021-02-17-2021-02-23;90;2477;59.8;808;32.6;96;3.9;271;10.9;1302;52.6
FR;2021-02-18-2021-02-24;09;4238;63.3;2418;57.1;191;4.5;411;9.7;1218;28.7
FR;2021-02-18-2021-02-24;19;13157;60.5;7239;55;743;5.6;991;7.5;4184;31.8
FR;2021-02-18-2021-02-24;29;15228;56.2;8272;54.3;828;5.4;1314;8.6;4814;31.6
FR;2021-02-18-2021-02-24;39;15257;56.3;8391;55;753;4.9;1310;8.6;4803;31.5
FR;2021-02-18-2021-02-24;49;15726;58.7;8766;55.7;755;4.8;1265;8;4940;31.4
FR;2021-02-18-2021-02-24;59;14527;59.3;7755;53.4;723;5;1164;8;4885;33.6
FR;2021-02-18-2021-02-24;69;10261;60.3;5235;51;541;5.3;906;8.8;3579;34.9
FR;2021-02-18-2021-02-24;79;6558;58.9;3027;46.2;242;3.7;653;10;2636;40.2
FR;2021-02-18-2021-02-24;89;4776;59.8;1896;39.7;152;3.2;530;11.1;2198;46
FR;2021-02-18-2021-02-24;90;2367;58.6;823;34.8;84;3.5;250;10.6;1210;51.1
FR;2021-02-19-2021-02-25;09;4332;63.8;2529;58.4;192;4.4;415;9.6;1196;27.6
FR;2021-02-19-2021-02-25;19;13474;61.4;7632;56.6;744;5.5;1020;7.6;4078;30.3
FR;2021-02-19-2021-02-25;29;15479;56.7;8625;55.7;854;5.5;1373;8.9;4627;29.9
FR;2021-02-19-2021-02-25;39;15518;56.7;8794;56.7;750;4.8;1321;8.5;4653;30
FR;2021-02-19-2021-02-25;49;15795;59.1;8997;57;781;4.9;1304;8.3;4713;29.8
FR;2021-02-19-2021-02-25;59;14843;59.8;8163;55;758;5.1;1176;7.9;4746;32
FR;2021-02-19-2021-02-25;69;10509;60.8;5497;52.3;596;5.7;911;8.7;3505;33.4
FR;2021-02-19-2021-02-25;79;6630;58.8;3175;47.9;235;3.5;682;10.3;2538;38.3
FR;2021-02-19-2021-02-25;89;4667;60.1;1947;41.7;158;3.4;497;10.6;2065;44.2
FR;2021-02-19-2021-02-25;90;2289;58.9;835;36.5;84;3.7;252;11;1118;48.8
FR;2021-02-20-2021-02-26;09;4481;64.7;2673;59.7;237;5.3;407;9.1;1164;26
FR;2021-02-20-2021-02-26;19;13671;62;7924;58;827;6;1053;7.7;3867;28.3
FR;2021-02-20-2021-02-26;29;15523;56.9;8901;57.3;899;5.8;1333;8.6;4390;28.3
FR;2021-02-20-2021-02-26;39;15598;57.2;9077;58.2;803;5.1;1317;8.4;4401;28.2
FR;2021-02-20-2021-02-26;49;15869;59.3;9280;58.5;823;5.2;1268;8;4498;28.3
FR;2021-02-20-2021-02-26;59;14932;59.8;8453;56.6;785;5.3;1131;7.6;4563;30.6
FR;2021-02-20-2021-02-26;69;10551;61;5734;54.3;575;5.4;854;8.1;3388;32.1
FR;2021-02-20-2021-02-26;79;6685;59.1;3297;49.3;275;4.1;692;10.4;2421;36.2
FR;2021-02-20-2021-02-26;89;4613;59.5;2033;44.1;166;3.6;486;10.5;1928;41.8
FR;2021-02-20-2021-02-26;90;2210;58.2;842;38.1;87;3.9;232;10.5;1049;47.5
FR;2021-02-21-2021-02-27;09;4503;64.6;2735;60.7;231;5.1;412;9.1;1125;25
FR;2021-02-21-2021-02-27;19;13700;61.8;8058;58.8;812;5.9;1056;7.7;3774;27.5
FR;2021-02-21-2021-02-27;29;15667;57.1;9113;58.2;926;5.9;1354;8.6;4274;27.3
FR;2021-02-21-2021-02-27;39;15575;57.3;9165;58.8;831;5.3;1316;8.4;4263;27.4
FR;2021-02-21-2021-02-27;49;15985;59.6;9425;59;867;5.4;1264;7.9;4429;27.7
FR;2021-02-21-2021-02-27;59;14942;60;8557;57.3;808;5.4;1136;7.6;4441;29.7
FR;2021-02-21-2021-02-27;69;10683;61.4;5832;54.6;618;5.8;867;8.1;3366;31.5
FR;2021-02-21-2021-02-27;79;6696;59.2;3378;50.4;290;4.3;678;10.1;2350;35.1
FR;2021-02-21-2021-02-27;89;4585;59.5;2062;45;161;3.5;482;10.5;1880;41
FR;2021-02-21-2021-02-27;90;2192;58.4;836;38.1;93;4.2;237;10.8;1026;46.8
FR;2021-02-22-2021-02-28;09;4490;64.5;2724;60.7;229;5.1;413;9.2;1124;25
FR;2021-02-22-2021-02-28;19;13741;61.9;8084;58.8;812;5.9;1064;7.7;3781;27.5
FR;2021-02-22-2021-02-28;29;15697;57.1;9145;58.3;926;5.9;1364;8.7;4262;27.2
FR;2021-02-22-2021-02-28;39;15634;57.4;9213;58.9;839;5.4;1323;8.5;4259;27.2
FR;2021-02-22-2021-02-28;49;15992;59.7;9430;59;876;5.5;1271;7.9;4415;27.6
FR;2021-02-22-2021-02-28;59;14942;60;8581;57.4;815;5.5;1122;7.5;4424;29.6
FR;2021-02-22-2021-02-28;69;10677;61.3;5845;54.7;617;5.8;860;8.1;3355;31.4
FR;2021-02-22-2021-02-28;79;6667;59;3389;50.8;291;4.4;654;9.8;2333;35
FR;2021-02-22-2021-02-28;89;4569;59.5;2075;45.4;166;3.6;474;10.4;1854;40.6
FR;2021-02-22-2021-02-28;90;2180;58.4;844;38.7;92;4.2;229;10.5;1015;46.6
FR;2021-02-23-2021-03-01;09;4527;65;2830;62.5;225;5;410;9.1;1062;23.5
FR;2021-02-23-2021-03-01;19;13876;61.8;8444;60.9;842;6.1;1052;7.6;3538;25.5
FR;2021-02-23-2021-03-01;29;15777;57.8;9538;60.5;927;5.9;1361;8.6;3951;25
FR;2021-02-23-2021-03-01;39;15730;58.3;9631;61.2;885;5.6;1316;8.4;3898;24.8
FR;2021-02-23-2021-03-01;49;15979;60.4;9741;61;893;5.6;1194;7.5;4151;26
FR;2021-02-23-2021-03-01;59;14831;60.6;8888;59.9;852;5.7;1124;7.6;3967;26.7
FR;2021-02-23-2021-03-01;69;10760;61.5;6102;56.7;640;5.9;847;7.9;3171;29.5
FR;2021-02-23-2021-03-01;79;6701;59.7;3588;53.5;293;4.4;622;9.3;2198;32.8
FR;2021-02-23-2021-03-01;89;4405;59.4;2076;47.1;161;3.7;463;10.5;1705;38.7
FR;2021-02-23-2021-03-01;90;2005;58.5;817;40.7;80;4;217;10.8;891;44.4
FR;2021-02-24-2021-03-02;09;4576;65.4;2938;64.2;216;4.7;429;9.4;993;21.7
FR;2021-02-24-2021-03-02;19;13908;61.7;8694;62.5;799;5.7;1067;7.7;3348;24.1
FR;2021-02-24-2021-03-02;29;15924;58.1;9900;62.2;895;5.6;1371;8.6;3758;23.6
FR;2021-02-24-2021-03-02;39;15619;58.4;9815;62.8;880;5.6;1300;8.3;3624;23.2
FR;2021-02-24-2021-03-02;49;15807;60.4;9875;62.5;858;5.4;1209;7.6;3865;24.5
FR;2021-02-24-2021-03-02;59;14704;60.5;8998;61.2;824;5.6;1100;7.5;3782;25.7
