reg;semaine;cl_age90;Nb_tests_PCR_TA_crible;Prc_tests_PCR_TA_crible;Nb_susp_501Y_V1;Prc_susp_501Y_V1;Nb_susp_501Y_V2_3;Prc_susp_501Y_V2_3;Nb_susp_IND;Prc_susp_IND;Nb_susp_ABS;Prc_susp_ABS
84;2021-02-12-2021-02-18;09;397;61.2;183;46.1;12;3;17;4.3;185;46.6
84;2021-02-12-2021-02-18;19;1126;57.4;530;47.1;36;3.2;40;3.6;520;46.2
84;2021-02-12-2021-02-18;29;1284;56.1;555;43.2;51;4;60;4.7;618;48.1
84;2021-02-12-2021-02-18;39;1314;55.2;604;46;43;3.3;50;3.8;617;47
84;2021-02-12-2021-02-18;49;1384;58.1;583;42.1;45;3.3;52;3.8;704;50.9
84;2021-02-12-2021-02-18;59;1345;57.5;544;40.4;50;3.7;48;3.6;703;52.3
84;2021-02-12-2021-02-18;69;841;55.4;290;34.5;17;2;39;4.6;495;58.9
84;2021-02-12-2021-02-18;79;659;58.8;214;32.5;12;1.8;42;6.4;391;59.3
84;2021-02-12-2021-02-18;89;478;52.9;122;25.5;9;1.9;32;6.7;315;65.9
84;2021-02-12-2021-02-18;90;268;53.6;58;21.6;1;0.4;23;8.6;186;69.4
84;2021-02-13-2021-02-19;09;444;67.3;198;44.6;16;3.6;23;5.2;207;46.6
84;2021-02-13-2021-02-19;19;1279;63.4;608;47.5;42;3.3;49;3.8;580;45.3
84;2021-02-13-2021-02-19;29;1416;61.3;607;42.9;48;3.4;74;5.2;687;48.5
84;2021-02-13-2021-02-19;39;1486;60.4;670;45.1;49;3.3;69;4.6;698;47
84;2021-02-13-2021-02-19;49;1496;62.1;634;42.4;52;3.5;69;4.6;741;49.5
84;2021-02-13-2021-02-19;59;1490;62.7;609;40.9;57;3.8;65;4.4;759;50.9
84;2021-02-13-2021-02-19;69;963;61.9;328;34.1;20;2.1;50;5.2;565;58.7
84;2021-02-13-2021-02-19;79;756;63;253;33.5;13;1.7;42;5.6;448;59.3
84;2021-02-13-2021-02-19;89;541;58.7;135;25;11;2;33;6.1;362;66.9
84;2021-02-13-2021-02-19;90;295;59.8;70;23.7;1;0.3;31;10.5;193;65.4
84;2021-02-14-2021-02-20;09;471;70;217;46.1;18;3.8;22;4.7;214;45.4
84;2021-02-14-2021-02-20;19;1347;65;651;48.3;46;3.4;54;4;596;44.2
84;2021-02-14-2021-02-20;29;1469;62.7;634;43.2;52;3.5;74;5;709;48.3
84;2021-02-14-2021-02-20;39;1567;63;721;46;48;3.1;71;4.5;727;46.4
84;2021-02-14-2021-02-20;49;1553;63.5;671;43.2;49;3.2;74;4.8;759;48.9
84;2021-02-14-2021-02-20;59;1539;64;626;40.7;62;4;70;4.5;781;50.7
84;2021-02-14-2021-02-20;69;993;63.5;342;34.4;23;2.3;52;5.2;576;58
84;2021-02-14-2021-02-20;79;761;64.2;256;33.6;13;1.7;40;5.3;452;59.4
84;2021-02-14-2021-02-20;89;561;61.3;145;25.8;9;1.6;30;5.3;377;67.2
84;2021-02-14-2021-02-20;90;297;62.1;73;24.6;1;0.3;29;9.8;194;65.3
84;2021-02-15-2021-02-21;09;472;69.9;219;46.4;19;4;22;4.7;212;44.9
84;2021-02-15-2021-02-21;19;1354;65.2;659;48.7;47;3.5;55;4.1;593;43.8
